"row","col","ID"
500,1000,1
500,2000,2
500,3000,3
500,3500,4
500,4000,5
500,5000,6
500,5500,7
500,6000,8
500,7500,9
500,8000,10
500,9500,11
500,10500,12
500,11000,13
500,12000,14
1000,500,15
1000,1500,16
1000,2000,17
1000,2500,18
1000,3000,19
1000,3500,20
1000,4000,21
1000,6500,22
1000,7500,23
1000,8500,24
1000,9000,25
1000,9500,26
1000,10000,27
1000,11000,28
1000,12000,29
1000,12500,30
1000,12949,31
1500,500,32
1500,2000,33
1500,2500,34
1500,3000,35
1500,5500,36
1500,6500,37
1500,7500,38
1500,8500,39
2000,500,40
2000,2500,41
2000,4000,42
2000,5000,43
2000,7500,44
2000,10500,45
2000,11000,46
2000,11500,47
2000,12500,48
2500,3000,49
2500,6500,50
2500,7000,51
2500,12500,52
2500,12949,53
3000,1500,54
3000,2500,55
3000,3000,56
3000,3500,57
3000,4500,58
3000,6000,59
3000,7000,60
3000,8000,61
3000,8500,62
3000,10500,63
3000,12500,64
3000,12949,65
3500,1000,66
3500,3500,67
3500,4000,68
3500,4500,69
3500,8000,70
3500,9000,71
3500,9500,72
3500,10500,73
3500,11000,74
3500,12000,75
3500,12949,76
4000,500,77
4000,4500,78
4000,6000,79
4000,7000,80
4000,7500,81
4000,8000,82
4000,9500,83
4000,10000,84
4000,11500,85
4000,12000,86
4500,500,87
4500,2000,88
4500,2500,89
4500,3000,90
4500,5500,91
4500,6500,92
4500,7500,93
4500,8000,94
4500,8500,95
4500,9000,96
4500,10500,97
4500,11000,98
4500,11500,99
4500,12500,100
5000,1000,101
5000,1500,102
5000,8500,103
5000,9000,104
5000,10000,105
5000,11500,106
5000,12949,107
5500,500,108
5500,1000,109
5500,3500,110
5500,6000,111
5500,6500,112
5500,7000,113
5500,7500,114
5500,8000,115
5500,10000,116
5500,11500,117
6000,1000,118
6000,1500,119
6000,2000,120
6000,2500,121
6000,5000,122
6000,5500,123
6000,6500,124
6000,11000,125
6000,12000,126
6500,1000,127
6500,2000,128
6500,3000,129
6500,5500,130
6500,6500,131
6500,7000,132
6500,8500,133
6500,9000,134
6500,9500,135
6500,11000,136
6500,11500,137
7000,2000,138
7000,2500,139
7000,4500,140
7000,5000,141
7000,8000,142
7000,9500,143
7000,10500,144
7000,12949,145
7500,500,146
7500,2000,147
7500,3500,148
7500,5000,149
7500,6500,150
7500,7000,151
7500,8000,152
7500,8500,153
7500,10000,154
7500,11500,155
8000,2500,156
8000,5500,157
8000,6000,158
8000,7000,159
8000,7500,160
8000,10500,161
8000,12949,162
8500,3500,163
8500,4000,164
8500,5000,165
8500,6000,166
8500,6500,167
8500,8000,168
8500,9000,169
8500,9500,170
8500,10000,171
8500,11500,172
9000,2000,173
9000,4000,174
9000,6500,175
9000,7000,176
9000,8000,177
9000,9000,178
9000,9500,179
9000,11500,180
9500,1500,181
9500,2500,182
9500,4000,183
9500,4500,184
9500,5500,185
9500,7000,186
9500,8000,187
9500,9000,188
9500,10500,189
9500,12000,190
10000,2000,191
10000,3000,192
10000,5500,193
10000,6000,194
10000,6500,195
10000,9000,196
10000,10000,197
10000,10500,198
10000,11500,199
10500,500,200
10500,6500,201
10500,7500,202
10500,8500,203
10500,9000,204
10500,11000,205
10500,11500,206
10500,12949,207
11000,3000,208
11000,4000,209
11000,5000,210
11000,6000,211
11000,6500,212
11000,7500,213
11000,8000,214
11000,8500,215
11000,9000,216
11000,10000,217
11000,10500,218
11000,12000,219
11000,12500,220
11000,12949,221
11500,500,222
11500,2500,223
11500,3000,224
11500,5000,225
11500,6000,226
11500,8500,227
11500,9000,228
11500,10000,229
11500,11000,230
11500,12949,231
12000,1000,232
12000,1500,233
12000,4000,234
12000,4500,235
12000,5500,236
12000,6000,237
12000,6500,238
12000,8500,239
12000,9000,240
12000,10500,241
12000,12000,242
12500,500,243
12500,3000,244
12500,3500,245
12500,4000,246
12500,4500,247
12500,6500,248
12500,8000,249
12500,11000,250
12500,12949,251
13000,1000,252
13000,2500,253
13000,4000,254
13000,4500,255
13000,5000,256
13000,5500,257
13000,6000,258
