"a","b","d","c","rmse_p","h","rmse_b","ID"
0.00010329,0.27481121,0.05774777,19.8491,7.49923000051583,1.7001,13.7027,158
0.00010329,0.42927623,0.07225642,18.692,7.12688999021248,1.8859,12.151,159
0.00010333,0.10648615,0.06919321,19.8926,7.38136677113466,2.6077,10.1291,160
0.00010334,0.30042669,0.0460327,15.5237,9.71140907035,2.4032,6.3941,161
0.00010336,0.94679022,0.01564393,12.9772,12.8091314073485,1.8533,5.5975,162
0.00010337,0.39091229,0.08681565,13.7895,8.47612155884642,1.6987,8.5178,163
0.00010337,1.05393255,0.06371391,18.0976,7.1343215883603,1.8812,11.5405,164
0.00010341,0.03699471,0.00926773,13.2229,14.0479214536957,1.5284,6.749,165
0.00010342,0.19084187,0.01196174,12.4923,14.2385668665541,2.2027,3.9991,166
0.00010343,0.50614876,0.06411476,15.2025,8.67382007357705,2.2154,7.222,167
0.00010344,0.55393988,0.02839921,16.5471,9.8692454526194,2.8333,5.6628,168
0.00010352,1.03861618,0.02204263,12.6634,12.5349689885834,2.1438,4.4925,169
0.00010353,0.33322394,0.05776618,12.652,10.9115725336226,1.8468,6.0818,170
0.00010353,0.74146962,0.04287416,17.3753,8.44658731790614,1.6541,11.2149,171
0.00010354,0.48222852,0.0586382,13.044,10.404769565655,2.9627,3.6939,172
0.00010355,0.1960271,0.06594155,16.2174,8.39430979123036,2.9246,5.6608,173
0.00010358,0.54405433,0.01811644,18.2927,9.53698785485387,2.0862,9.6639,174
0.00010359,0.39124238,0.00384965,19.5252,9.92548858000424,2.6783,8.2495,175
0.00010361,0.16688804,0.03842172,13.914,11.4140399142337,2.2057,5.484,176
0.00010362,0.75069851,0.056904,13.6429,9.82091419332678,2.4275,4.9807,177
0.00010364,0.51756716,0.04754387,13.222,10.9237140571149,2.0181,5.7751,178
0.00010365,1.19812059,0.04620657,17.6615,7.90421518108034,2.277,9.0664,179
0.00010367,0.65022123,0.05282545,15.9786,8.70201894328652,1.6339,10.1488,180
0.00010368,0.97897136,0.01875384,17.1982,9.71964026640366,2.2904,7.9319,181
0.00010369,0.37369782,0.05468429,19.1664,7.62080418980503,1.5164,13.7895,182
0.0001037,0.75153542,0.08513396,12.6106,8.9394901590449,2.5369,4.3575,183
0.00010371,0.05920417,0.01806366,17.4727,10.5234855635563,1.7061,10.3275,184
0.00010371,0.26117465,0.09715141,13.5166,8.30964438312447,2.644,4.8932,185
0.00010371,0.66640973,0.04555808,15.0179,9.66672858295711,2.4888,5.7226,186
0.00010374,1.04999518,0.03581196,15.8424,9.43013833504911,2.5646,6.0763,187
0.00010376,0.58156765,0.02187341,12.3932,13.1838210415078,2.9317,3.8478,188
0.00010376,0.67308104,0.05355716,14.2629,9.67501186161716,2.3081,5.8281,189
0.00010377,0.21402809,0.07757088,14.6542,8.63039607670392,1.9026,8.2104,190
0.00010377,0.86189443,0.04576745,14.7449,9.65660457659001,2.5507,5.3372,191
0.00010378,0.15179658,0.09828255,14.3534,7.95577119893659,2.6053,5.7079,192
0.00010385,0.44961518,0.00246574,18.4487,10.4903627564059,1.8803,10.2936,193
0.00010385,0.48596773,0.08352083,17.1049,7.08144541426371,1.7927,11.2974,194
0.0001039,0.93333972,0.02425976,14.754,10.9388497156675,1.5661,8.6205,195
0.00010391,0.45524368,0.04972897,17.2944,8.3912530754299,1.9643,9.9003,196
0.00010392,0.28983486,0.00353348,15.6515,12.3429672122939,2.1512,6.6048,197
0.00010395,1.18589115,0.07951049,19.8581,6.85066723704408,2.3918,11.5027,198
0.00010396,0.70498329,0.09640792,18.6785,6.6643408108154,2.651,9.5815,199
0.00010397,0.35885009,0.06020302,19.1601,7.4519976639732,2.9504,8.0073,200
0.00010405,1.01326466,0.02722645,13.3397,11.6924130180839,1.753,6.574,201
0.00010407,0.19955832,0.04453193,12.9905,11.6545798187895,1.983,5.5633,202
0.00010409,1.05752325,0.06991086,16.6316,7.33224928697383,2.5475,7.536,203
0.00010411,0.91922075,0.03075774,16.8887,9.22091083436457,2.3149,7.7843,204
0.00010413,1.1021297,0.06096755,12.5134,10.088266367031,1.8324,6.2746,205
0.00010417,0.70362455,0.03322407,19.1266,8.24894034091016,2.7703,8.1612,206
0.00010419,0.42556286,0.07862465,15.7542,7.78715101746885,1.7052,10.2094,207
0.00010419,0.44493419,0.02448864,18.664,9.0990474145564,2.8552,7.2573,208
0.00010419,0.63260525,0.0806019,18.4938,6.8305305263228,2.0011,11.721,209
0.00010421,0.34892201,0.07518245,14.906,8.44839149645139,1.576,9.8301,210
0.00010424,1.13204408,0.06689602,18.6224,6.94351730362868,1.5904,13.4423,211
0.00010425,0.68615419,0.03396888,15.6878,9.92423680567118,1.9553,8.077,212
0.00010426,0.78562874,0.0936789,15.916,6.90693411432208,2.0784,9.2498,213
0.00010427,0.40278134,0.03829437,13.0835,11.7458237216417,2.5325,3.9999,214
0.00010428,0.55287939,0.01983363,13.9959,12.1304098925229,2.1177,5.5853,215
0.00010433,0.28431079,0.03801092,15.9905,9.91692461940392,2.2615,7.1678,216
0.00010433,0.50599134,0.00121369,18.6497,10.4028888934864,2.4349,8.3005,217
0.00010438,0.79160732,0.09577279,12.9297,8.18675199090931,1.6034,8.4438,218
0.00010441,0.67825389,0.04771703,14.2587,10.0215270977323,2.7963,4.3688,219
0.00010441,1.00565314,0.02552189,16.7905,9.52205148939167,2.2061,8.0198,220
0.00010445,0.12534255,0.0641292,16.8125,8.28910263197354,2.3694,8.0456,221
0.00010445,0.96384794,0.03654773,16.0135,9.34404963731546,1.738,9.4218,222
0.00010446,1.05844975,0.01409934,16.6242,10.2851877731764,2.3244,7.2013,223
0.00010453,0.08374678,0.09763224,12.034,9.42412218383313,2.4394,4.3012,224
0.00010453,0.88094759,0.04644123,15.7578,8.98381074653352,1.5171,10.3426,225
0.00010454,0.84954607,0.04484039,17.8425,8.07010692000499,2.9822,6.5649,226
0.00010455,0.79087788,0.01870641,14.3827,11.6900195787071,2.588,4.5835,227
0.00010457,0.46874934,0.05149031,12.2148,11.475340513165,2.6491,3.489,228
0.00010461,0.63147962,0.05005914,17.9168,7.95810139707821,2.6782,7.714,229
0.00010462,0.9395448,0.05140455,13.0121,10.4337700614563,1.8922,6.2425,230
0.00010464,0.34018978,0.09559084,19.6461,6.97326194790615,1.9893,13.2087,231
0.00010465,0.53426462,0.07425095,18.0269,7.1013591694664,1.7399,12.2136,232
0.00010468,0.59044462,0.0949027,13.944,7.82722537286563,1.866,8.2203,233
0.00010471,0.41751191,0.06091263,16.0062,8.49359248142568,2.7312,6.018,234
0.00010474,1.07912564,0.05287223,13.1513,10.137854739313,1.8205,6.729,235
0.00010475,0.92003608,0.06389309,16.3306,7.77276852664897,2.8508,6.0569,236
0.00010482,0.42504272,0.04187667,14.0186,10.8111557065142,2.3323,5.2682,237
0.00010484,0.0471997,0.06841635,16.3652,8.39412851580941,1.5935,10.9354,238
0.00010484,0.58781713,0.0326586,17.3112,9.1608286847689,2.2806,8.2797,239
0.00010484,1.03717375,0.00225536,19.7548,9.40378296716201,1.8037,12.0238,240
0.00010485,0.93351197,0.0234028,18.7584,8.72301291098441,1.701,11.9539,241
0.00010486,0.02039011,0.08399633,14.4139,8.7052463505982,1.6342,9.2309,242
0.00010488,1.13462508,0.01413438,16.3834,10.3787479239722,2.4762,6.4714,243
0.00010489,0.89309245,0.00679106,19.5287,9.33086797987712,2.6283,8.5754,244
0.0001049,0.76020908,0.09870148,16.2515,6.71510154118393,2.362,8.5154,245
0.00010491,0.05309756,0.05160959,19.535,7.97778737773217,2.4238,10.1181,246
0.00010491,0.55348885,0.04594109,19.2192,7.78186675508005,1.7828,12.4998,247
0.00010492,0.26718485,0.03784588,17.376,9.17329125665831,2.3841,7.9835,248
0.00010494,0.78150845,0.08291768,16.4301,7.07641582692115,2.4169,8.0873,249
0.00010497,0.50194526,0.09619949,15.5927,7.13987702065823,2.8721,5.9129,250
0.00010497,0.83072728,0.02501605,12.0246,13.0103980282764,2.6465,3.4212,251
0.000105,0.98558527,0.02455557,19.0458,8.5207201246226,1.8916,11.4588,252
0.00010504,0.35177174,0.03765396,12.8924,11.9890102963003,2.9212,3.7179,253
0.00010505,0.51480246,0.00610159,12.5062,14.2637476663687,2.9993,4.2382,254
0.00010507,0.26777664,0.08945359,19.586,7.00203082408224,2.2859,11.6911,255
0.0001051,0.7055921,0.02596544,14.7449,11.0333057160152,2.5021,5.1448,256
0.00010513,0.36906797,0.0879786,12.5599,9.21001513264205,1.5419,8.0211,257
0.00010513,0.43102464,0.03682929,12.7842,12.0343160062378,2.7855,3.6313,258
0.00010513,1.05889344,0.0360405,18.974,7.96494289388054,2.5398,9.0142,259
0.00010514,0.58770877,0.08021692,19.6988,6.8818314781917,1.9599,13.0644,260
